z_span,x_chord,side,cp,p_static_kpa,mach_local
-0.3723,0.06289,lower,1.1174,85.247,nan
-0.3723,0.06918,upper,-0.9878,115.537,1.1079
-0.3723,0.06918,lower,0.9721,87.338,nan
-0.3723,0.07547,upper,-0.9123,114.452,1.0845
-0.3723,0.07547,lower,0.9502,87.654,nan
-0.3723,0.08176,upper,-0.7388,111.954,1.047
-0.3723,0.08176,lower,0.7864,90.01,nan
-0.3723,0.08805,upper,-0.6911,111.269,1.0483
-0.3723,0.08805,lower,0.6548,91.904,nan
-0.3723,0.09434,upper,-0.6744,111.028,1.0633
-0.3723,0.09434,lower,0.6313,92.241,nan
-0.3723,0.10063,upper,-0.6117,110.126,1.0264
-0.3723,0.10063,lower,0.5274,93.737,nan
-0.3723,0.10692,upper,-0.5205,108.814,1.0154
-0.3723,0.10692,lower,0.4892,94.286,nan
-0.3723,0.11321,upper,-0.4121,107.254,0.9776
-0.3723,0.11321,lower,0.3968,95.616,nan
-0.3723,0.1195,upper,-0.4485,107.778,0.9908
-0.3723,0.1195,lower,0.444,94.937,nan
-0.3723,0.12579,upper,-0.3341,106.132,0.9595
-0.3723,0.12579,lower,0.4214,95.262,nan
-0.3723,0.13208,upper,-0.3421,106.247,0.9655
-0.3723,0.13208,lower,0.3017,96.984,nan
-0.3723,0.13836,upper,-0.2502,104.925,0.9285
-0.3723,0.13836,lower,0.3286,96.597,nan
-0.3723,0.14465,upper,-0.2889,105.481,0.9377
-0.3723,0.14465,lower,0.3394,96.442,nan
-0.3723,0.15094,upper,-0.2218,104.517,0.9253
-0.3723,0.15094,lower,0.2756,97.36,nan
-0.3723,0.15723,upper,-0.204,104.261,0.9422
-0.3723,0.15723,lower,0.2002,98.444,nan
-0.3723,0.16352,upper,-0.1586,103.607,0.9009
-0.3723,0.16352,lower,0.1924,98.556,nan
-0.3723,0.16981,upper,-0.1548,103.553,0.9089
-0.3723,0.16981,lower,0.1598,99.026,nan
-0.3723,0.1761,upper,-0.1413,103.358,0.9119
-0.3723,0.1761,lower,0.1799,98.737,nan
-0.3723,0.18239,upper,-0.2124,104.381,0.9332
-0.3723,0.18239,lower,0.1654,98.946,nan
-0.3723,0.18868,upper,-0.1819,103.943,0.9074
-0.3723,0.18868,lower,0.1574,99.06,nan
-0.3723,0.19497,upper,-0.1148,102.977,0.8902
-0.3723,0.19497,lower,0.1555,99.088,nan
-0.3723,0.20126,upper,-0.0903,102.625,0.8718
-0.3723,0.20126,lower,0.1587,99.042,nan
-0.3723,0.20755,upper,-0.0795,102.469,0.859
-0.3723,0.20755,lower,0.0642,100.402,nan
-0.3723,0.21384,upper,-0.0918,102.646,0.8841
-0.3723,0.21384,lower,0.0958,99.947,nan
-0.3723,0.22013,upper,-0.0351,101.83,0.8439
-0.3723,0.22013,lower,0.0455,100.671,nan
-0.3723,0.22642,upper,0.0317,100.869,nan
-0.3723,0.22642,lower,0.052,100.577,nan
-0.3723,0.2327,upper,-0.0489,102.028,0.8442
-0.3723,0.2327,lower,0.0162,101.091,nan
-0.3723,0.23899,upper,-0.0013,101.344,0.8029
-0.3723,0.23899,lower,0.0591,100.475,nan
-0.3723,0.24528,upper,-0.0676,102.297,0.8645
-0.3723,0.24528,lower,0.0288,100.911,nan
-0.3723,0.25157,upper,-0.0001,101.326,0.7914
-0.3723,0.25157,lower,0.0137,101.128,nan
-0.3723,0.25786,upper,-0.0384,101.877,0.8345
-0.3723,0.25786,lower,0.0387,100.768,nan
-0.3723,0.26415,upper,-0.0175,101.577,0.8247
-0.3723,0.26415,lower,0.0345,100.829,nan
-0.3723,0.27044,upper,-0.025,101.684,0.8306
-0.3723,0.27044,lower,-0.0117,101.494,0.815
-0.3723,0.27673,upper,-0.0404,101.906,0.8407
-0.3723,0.27673,lower,0.033,100.85,nan
-0.3723,0.28302,upper,-0.0652,102.263,0.8492
-0.3723,0.28302,lower,0.0236,100.986,nan
-0.3723,0.28931,upper,0.0078,101.212,nan
-0.3723,0.28931,lower,0.0779,100.205,nan
-0.3723,0.2956,upper,-0.003,101.367,0.7891
-0.3723,0.2956,lower,-0.0024,101.359,0.7918
-0.3723,0.30189,upper,0.0094,101.19,nan
-0.3723,0.30189,lower,0.0296,100.9,nan
-0.3723,0.30818,upper,0.0242,100.977,nan
-0.3723,0.30818,lower,0.0387,100.768,nan
-0.3723,0.31447,upper,-0.0151,101.542,0.811
-0.3723,0.31447,lower,0.0445,100.685,nan
-0.3723,0.32075,upper,-0.0019,101.352,0.7906
-0.3723,0.32075,lower,0.1062,99.796,nan
-0.3723,0.32704,upper,-0.0002,101.328,0.7865
-0.3723,0.32704,lower,-0.0146,101.534,0.8195
-0.3723,0.33333,upper,0.0718,100.291,nan
-0.3723,0.33333,lower,0.0474,100.642,nan
-0.3723,0.33962,upper,0.0142,101.12,nan
-0.3723,0.33962,lower,0.0194,101.045,nan
-0.3723,0.34591,upper,0.0152,101.107,nan
-0.3723,0.34591,lower,0.0362,100.805,nan
-0.3723,0.3522,upper,-0.058,102.16,0.8666
-0.3723,0.3522,lower,0.1063,99.796,nan
-0.3723,0.35849,upper,0.0028,101.284,nan
-0.3723,0.35849,lower,0.0339,100.837,nan
-0.3723,0.36478,upper,0.0404,100.744,nan
-0.3723,0.36478,lower,0.0578,100.494,nan
-0.3723,0.37107,upper,-0.0551,102.118,0.8575
-0.3723,0.37107,lower,-0.0003,101.329,0.774
-0.3723,0.37736,upper,-0.0047,101.392,0.8001
-0.3723,0.37736,lower,0.0604,100.456,nan
-0.3723,0.38365,upper,0.0546,100.539,nan
-0.3723,0.38365,lower,0.0452,100.674,nan
-0.3723,0.38994,upper,0.0182,101.063,nan
-0.3723,0.38994,lower,0.0432,100.703,nan
-0.3723,0.39623,upper,0.0451,100.676,nan
-0.3723,0.39623,lower,0.0502,100.603,nan
-0.3723,0.40252,upper,0.075,100.246,nan
-0.3723,0.40252,lower,-0.0151,101.542,0.8163
-0.3723,0.40881,upper,-0.0018,101.351,0.7992
-0.3723,0.40881,lower,0.0141,101.122,nan
-0.3723,0.41509,upper,0.0751,100.245,nan
-0.3723,0.41509,lower,0.012,101.153,nan
-0.3723,0.42138,upper,0.051,100.592,nan
-0.3723,0.42138,lower,0.038,100.778,nan
-0.3723,0.42767,upper,0.0309,100.881,nan
-0.3723,0.42767,lower,0.0687,100.337,nan
-0.3723,0.43396,upper,0.0284,100.917,nan
-0.3723,0.43396,lower,0.0468,100.651,nan
-0.3723,0.44025,upper,0.0571,100.504,nan
-0.3723,0.44025,lower,0.061,100.448,nan
-0.3723,0.44654,upper,-0.0255,101.692,0.8452
-0.3723,0.44654,lower,0.0214,101.018,nan
-0.3723,0.45283,upper,0.0413,100.731,nan
-0.3723,0.45283,lower,0.0919,100.003,nan
-0.3723,0.45912,upper,0.076,100.231,nan
-0.3723,0.45912,lower,0.0589,100.478,nan
-0.3723,0.46541,upper,0.0232,100.992,nan
-0.3723,0.46541,lower,0.041,100.735,nan
-0.3723,0.4717,upper,-0.0361,101.844,0.8411
-0.3723,0.4717,lower,0.0044,101.262,nan
-0.3723,0.47799,upper,0.015,101.109,nan
-0.3723,0.47799,lower,0.0162,101.092,nan
-0.3723,0.48428,upper,0.0666,100.367,nan
-0.3723,0.48428,lower,0.0325,100.857,nan
-0.3723,0.49057,upper,0.0433,100.703,nan
-0.3723,0.49057,lower,0.0122,101.15,nan
-0.3723,0.49686,upper,-0.0381,101.874,0.8277
-0.3723,0.49686,lower,-0.016,101.556,0.8166
-0.3723,0.50314,upper,0.0374,100.786,nan
-0.3723,0.50314,lower,0.0313,100.874,nan
-0.3723,0.50943,upper,0.0234,100.989,nan
-0.3723,0.50943,lower,-0.0084,101.447,0.8263
-0.3723,0.51572,upper,-0.0383,101.877,0.8412
-0.3723,0.51572,lower,0.0879,100.061,nan
-0.3723,0.52201,upper,0.0205,101.03,nan
-0.3723,0.52201,lower,0.0693,100.327,nan
-0.3723,0.5283,upper,0.0255,100.958,nan
-0.3723,0.5283,lower,0.0509,100.593,nan
-0.3723,0.53459,upper,0.1159,99.658,nan
-0.3723,0.53459,lower,-0.0048,101.393,0.8052
-0.3723,0.54088,upper,0.1433,99.264,nan
-0.3723,0.54088,lower,0.0592,100.473,nan
-0.3723,0.54717,upper,0.0634,100.413,nan
-0.3723,0.54717,lower,0.0381,100.777,nan
-0.3723,0.55346,upper,0.1279,99.484,nan
-0.3723,0.55346,lower,0.0344,100.83,nan
-0.3723,0.55975,upper,0.1019,99.858,nan
-0.3723,0.55975,lower,0.063,100.418,nan
-0.3723,0.56604,upper,0.1623,98.989,nan
-0.3723,0.56604,lower,0.1306,99.446,nan
-0.3723,0.57233,upper,0.2743,97.378,nan
-0.3723,0.57233,lower,0.1006,99.878,nan
-0.3723,0.57862,upper,0.3497,96.293,nan
-0.3723,0.57862,lower,0.1697,98.883,nan
-0.3723,0.58491,upper,0.329,96.591,nan
-0.3723,0.58491,lower,0.1301,99.453,nan
-0.3723,0.59119,upper,0.4842,94.358,nan
-0.3723,0.59119,lower,0.1929,98.549,nan
-0.3723,0.59748,upper,0.5328,93.659,nan
-0.3723,0.59748,lower,0.2212,98.142,nan
-0.3723,0.60377,upper,0.6057,92.61,nan
-0.3723,0.60377,lower,0.2294,98.024,nan
-0.3723,0.61006,upper,0.6667,91.732,nan
-0.3723,0.61006,lower,0.3071,96.907,nan
-0.3723,0.61635,upper,0.7114,91.09,nan
-0.3723,0.61635,lower,0.2688,97.457,nan
-0.3723,0.62264,upper,0.732,90.793,nan
-0.3723,0.62264,lower,0.3311,96.561,nan
-0.3723,0.62893,upper,0.8643,88.889,nan
-0.3723,0.62893,lower,0.2928,97.111,nan
-0.3723,0.63522,upper,0.8075,89.707,nan
-0.3723,0.63522,lower,0.2808,97.285,nan
-0.3723,0.64151,upper,0.9178,88.12,nan
-0.3723,0.64151,lower,0.2992,97.02,nan
-0.3723,0.6478,upper,0.9107,88.222,nan
-0.3723,0.6478,lower,0.376,95.915,nan
-0.3723,0.65409,upper,0.8712,88.79,nan
-0.3723,0.65409,lower,0.3518,96.263,nan
-0.3723,0.66038,upper,0.9351,87.871,nan
-0.3723,0.66038,lower,0.3337,96.524,nan
-0.3723,0.66667,upper,0.9793,87.235,nan
-0.3723,0.66667,lower,0.327,96.62,nan
-0.3723,0.67296,upper,0.9508,87.645,nan
-0.3723,0.67296,lower,0.3536,96.238,nan
-0.3723,0.67925,upper,0.9851,87.151,nan
-0.3723,0.67925,lower,0.3113,96.845,nan
-0.3723,0.68553,upper,0.947,87.7,nan
-0.3723,0.68553,lower,0.3539,96.233,nan
-0.3723,0.69182,upper,0.9294,87.953,nan
-0.3723,0.69182,lower,0.3619,96.117,nan
-0.3723,0.69811,upper,0.9635,87.463,nan
-0.3723,0.69811,lower,0.3486,96.31,nan
-0.3723,0.7044,upper,0.9112,88.214,nan
-0.3723,0.7044,lower,0.3484,96.312,nan
-0.3723,0.71069,upper,0.9105,88.224,nan
-0.3723,0.71069,lower,0.3064,96.917,nan
-0.3723,0.71698,upper,0.9331,87.899,nan
-0.3723,0.71698,lower,0.3726,95.964,nan
-0.3723,0.72327,upper,0.9809,87.211,nan
-0.3723,0.72327,lower,0.3859,95.773,nan
-0.3723,0.72956,upper,0.9502,87.654,nan
-0.3723,0.72956,lower,0.3793,95.868,nan
-0.3723,0.73585,upper,0.9669,87.413,nan
-0.3723,0.73585,lower,0.3985,95.592,nan
-0.3723,0.74214,upper,0.9093,88.242,nan
-0.3723,0.74214,lower,0.365,96.074,nan
-0.3723,0.74843,upper,0.9416,87.776,nan
-0.3723,0.74843,lower,0.3958,95.63,nan
-0.3723,0.75472,upper,0.9503,87.652,nan
-0.3723,0.75472,lower,0.423,95.239,nan
-0.3723,0.76101,upper,0.9661,87.425,nan
-0.3723,0.76101,lower,0.3912,95.696,nan
-0.3723,0.7673,upper,0.9652,87.437,nan
-0.3723,0.7673,lower,0.3721,95.971,nan
-0.3723,0.77358,upper,0.9694,87.378,nan
-0.3723,0.77358,lower,0.386,95.771,nan
-0.3723,0.77987,upper,0.9253,88.012,nan
-0.3723,0.77987,lower,0.3465,96.339,nan
-0.3723,0.78616,upper,0.974,87.31,nan
-0.3723,0.78616,lower,0.3844,95.795,nan
-0.3723,0.79245,upper,0.9113,88.213,nan
-0.3723,0.79245,lower,0.3459,96.348,nan
-0.3723,0.79874,upper,0.9149,88.161,nan
-0.3723,0.79874,lower,0.4232,95.237,nan
-0.3723,0.80503,upper,0.9609,87.499,nan
-0.3723,0.80503,lower,0.3768,95.904,nan
-0.3723,0.81132,upper,0.9638,87.457,nan
-0.3723,0.81132,lower,0.42,95.283,nan
-0.3723,0.81761,upper,0.9758,87.285,nan
-0.3723,0.81761,lower,0.3915,95.692,nan
-0.3723,0.8239,upper,0.9795,87.232,nan
-0.3723,0.8239,lower,0.3502,96.286,nan
-0.3723,0.83019,upper,0.9323,87.911,nan
-0.3723,0.83019,lower,0.391,95.699,nan
-0.3723,0.83648,upper,0.9396,87.806,nan
-0.3723,0.83648,lower,0.3485,96.311,nan
-0.3723,0.84277,upper,0.9793,87.234,nan
-0.3723,0.84277,lower,0.4113,95.407,nan
-0.3723,0.84906,upper,0.9897,87.085,nan
-0.3723,0.84906,lower,0.4231,95.237,nan
-0.3723,0.85535,upper,0.9487,87.674,nan
-0.3723,0.85535,lower,0.4127,95.387,nan
-0.3723,0.86164,upper,0.9975,86.973,nan
-0.3723,0.86164,lower,0.3386,96.453,nan
-0.3723,0.86792,upper,0.9311,87.929,nan
-0.3723,0.86792,lower,0.3638,96.09,nan
-0.3723,0.87421,upper,0.9915,87.059,nan
-0.3723,0.87421,lower,0.3877,95.746,nan
-0.3723,0.8805,upper,0.9759,87.283,nan
-0.3723,0.8805,lower,0.3987,95.588,nan
-0.3723,0.88679,upper,0.9639,87.456,nan
-0.3723,0.88679,lower,0.4013,95.55,nan
-0.3723,0.89308,upper,0.9319,87.917,nan
-0.3723,0.89308,lower,0.3691,96.015,nan
-0.3723,0.89937,upper,0.9922,87.049,nan
-0.3723,0.89937,lower,0.3729,95.96,nan
-0.3723,0.90566,upper,0.9384,87.823,nan
-0.3723,0.90566,lower,0.4137,95.372,nan
-0.3723,0.91195,upper,0.924,88.031,nan
-0.3723,0.91195,lower,0.3963,95.624,nan
-0.3723,0.91824,upper,1.0185,86.671,nan
-0.3723,0.91824,lower,0.3345,96.512,nan
-0.3723,0.92453,upper,1.0,86.936,nan
-0.3723,0.92453,lower,0.4129,95.384,nan
-0.3723,0.93082,upper,1.0463,86.27,nan
-0.3723,0.93082,lower,0.3965,95.62,nan
-0.3723,0.93711,upper,1.0582,86.099,nan
-0.3723,0.93711,lower,0.4432,94.948,nan
-0.3723,0.9434,upper,0.955,87.585,nan
-0.3723,0.9434,lower,0.3908,95.702,nan
-0.3723,0.94969,upper,1.0009,86.924,nan
-0.3723,0.94969,lower,0.4253,95.205,nan
-0.3723,0.95597,upper,1.0309,86.492,nan
-0.3723,0.95597,lower,0.3937,95.66,nan
-0.3723,0.96226,upper,0.9647,87.444,nan
-0.3723,0.96226,lower,0.41,95.426,nan
-0.3723,0.96855,upper,0.9218,88.062,nan
-0.3723,0.96855,lower,0.3831,95.812,nan
-0.3723,0.97484,upper,0.9849,87.154,nan
-0.3723,0.97484,lower,0.3754,95.924,nan
-0.3723,0.98113,upper,1.0846,85.72,nan
-0.3723,0.98113,lower,0.4418,94.969,nan
-0.3723,0.98742,upper,1.003,86.894,nan
-0.3723,0.98742,lower,0.4458,94.91,nan
-0.3723,0.99371,upper,1.0093,86.803,nan
-0.3723,0.99371,lower,0.4025,95.533,nan
-0.3723,1.0,upper,1.0382,86.387,nan
-0.3723,1.0,lower,0.3916,95.69,nan
-0.3511,0.0,upper,-3.2328,147.839,1.357
-0.3511,0.0,lower,3.2273,54.89,nan
-0.3511,0.00629,upper,-2.8818,142.789,1.3229
-0.3511,0.00629,lower,2.9034,59.55,nan
-0.3511,0.01258,upper,-2.5874,138.553,1.2868
-0.3511,0.01258,lower,2.5425,64.742,nan
-0.3511,0.01887,upper,-2.3533,135.185,1.2751
-0.3511,0.01887,lower,2.3645,67.304,nan
-0.3511,0.02516,upper,-2.1071,131.643,1.2597
-0.3511,0.02516,lower,2.122,70.793,nan
-0.3511,0.03145,upper,-1.8889,128.502,1.2078
-0.3511,0.03145,lower,1.8409,74.837,nan
-0.3511,0.03774,upper,-1.6675,125.317,1.1869
-0.3511,0.03774,lower,1.6803,77.148,nan
-0.3511,0.04403,upper,-1.5897,124.198,1.1802
-0.3511,0.04403,lower,1.5746,78.67,nan
-0.3511,0.05031,upper,-1.3767,121.133,1.1696
-0.3511,0.05031,lower,1.3448,81.976,nan
-0.3511,0.0566,upper,-1.311,120.188,1.1536
-0.3511,0.0566,lower,1.2107,83.905,nan
-0.3511,0.06289,upper,-1.0948,117.077,1.1159
-0.3511,0.06289,lower,1.0351,86.432,nan
-0.3511,0.06918,upper,-1.0053,115.79,1.0991
-0.3511,0.06918,lower,0.9082,88.258,nan
-0.3511,0.07547,upper,-0.8556,113.636,1.0707
-0.3511,0.07547,lower,0.8871,88.561,nan
-0.3511,0.08176,upper,-0.7644,112.323,1.0601
-0.3511,0.08176,lower,0.8529,89.054,nan
-0.3511,0.08805,upper,-0.7364,111.92,1.0504
-0.3511,0.08805,lower,0.6217,92.38,nan
-0.3511,0.09434,upper,-0.6053,110.035,1.0306
-0.3511,0.09434,lower,0.6082,92.574,nan
-0.3511,0.10063,upper,-0.6442,110.593,1.0341
-0.3511,0.10063,lower,0.589,92.85,nan
-0.3511,0.10692,upper,-0.5404,109.1,1.0221
-0.3511,0.10692,lower,0.5767,93.027,nan
-0.3511,0.11321,upper,-0.4331,107.557,0.9777
-0.3511,0.11321,lower,0.3893,95.724,nan
-0.3511,0.1195,upper,-0.4089,107.208,0.9858
-0.3511,0.1195,lower,0.3898,95.717,nan
-0.3511,0.12579,upper,-0.3383,106.193,0.9795
-0.3511,0.12579,lower,0.3598,96.148,nan
-0.3511,0.13208,upper,-0.2828,105.394,0.9546
-0.3511,0.13208,lower,0.3529,96.247,nan
-0.3511,0.13836,upper,-0.2109,104.359,0.9271
-0.3511,0.13836,lower,0.3127,96.826,nan
-0.3511,0.14465,upper,-0.2809,105.366,0.9437
-0.3511,0.14465,lower,0.2629,97.543,nan
-0.3511,0.15094,upper,-0.2585,105.044,0.9561
-0.3511,0.15094,lower,0.1991,98.46,nan
-0.3511,0.15723,upper,-0.1984,104.18,0.9121
-0.3511,0.15723,lower,0.2318,97.99,nan
-0.3511,0.16352,upper,-0.1942,104.119,0.9359
-0.3511,0.16352,lower,0.1927,98.552,nan
-0.3511,0.16981,upper,-0.1971,104.16,0.9082
-0.3511,0.16981,lower,0.1481,99.194,nan
-0.3511,0.1761,upper,-0.161,103.642,0.9141
-0.3511,0.1761,lower,0.0692,100.33,nan
-0.3511,0.18239,upper,-0.1925,104.095,0.9307
-0.3511,0.18239,lower,0.1173,99.637,nan
-0.3511,0.18868,upper,-0.1524,103.517,0.9117
-0.3511,0.18868,lower,0.1088,99.76,nan
-0.3511,0.19497,upper,-0.1718,103.796,0.9216
-0.3511,0.19497,lower,0.1247,99.531,nan
-0.3511,0.20126,upper,-0.0453,101.977,0.8461
-0.3511,0.20126,lower,0.094,99.973,nan
-0.3511,0.20755,upper,-0.0629,102.231,0.8579
-0.3511,0.20755,lower,0.0916,100.007,nan
-0.3511,0.21384,upper,-0.0432,101.947,0.8536
-0.3511,0.21384,lower,0.0816,100.151,nan
-0.3511,0.22013,upper,-0.1136,102.959,0.8856
-0.3511,0.22013,lower,0.1337,99.401,nan
-0.3511,0.22642,upper,-0.108,102.879,0.896
-0.3511,0.22642,lower,0.086,100.087,nan
-0.3511,0.2327,upper,-0.0178,101.581,0.8141
-0.3511,0.2327,lower,0.0138,101.126,nan
-0.3511,0.23899,upper,-0.0556,102.125,0.8463
-0.3511,0.23899,lower,0.0427,100.711,nan
-0.3511,0.24528,upper,-0.031,101.771,0.8358
-0.3511,0.24528,lower,0.077,100.218,nan
-0.3511,0.25157,upper,-0.0747,102.4,0.8565
-0.3511,0.25157,lower,0.0381,100.777,nan
-0.3511,0.25786,upper,0.0063,101.234,nan
-0.3511,0.25786,lower,0.0761,100.23,nan
-0.3511,0.26415,upper,0.0162,101.091,nan
-0.3511,0.26415,lower,0.0668,100.364,nan
-0.3511,0.27044,upper,-0.0253,101.689,0.8332
-0.3511,0.27044,lower,-0.0004,101.33,0.7853
-0.3511,0.27673,upper,0.0258,100.954,nan
-0.3511,0.27673,lower,0.0593,100.472,nan
-0.3511,0.28302,upper,-0.0447,101.968,0.8558
-0.3511,0.28302,lower,-0.0256,101.693,0.8244
-0.3511,0.28931,upper,0.0062,101.236,nan
-0.3511,0.28931,lower,0.0848,100.105,nan
-0.3511,0.2956,upper,-0.0238,101.668,0.8246
-0.3511,0.2956,lower,-0.0172,101.572,0.8103
-0.3511,0.30189,upper,0.014,101.124,nan
-0.3511,0.30189,lower,0.0401,100.748,nan
-0.3511,0.30818,upper,-0.0192,101.601,0.8268
-0.3511,0.30818,lower,-0.025,101.685,0.8303
-0.3511,0.31447,upper,0.0542,100.545,nan
-0.3511,0.31447,lower,0.0094,101.189,nan
-0.3511,0.32075,upper,0.0526,100.568,nan
-0.3511,0.32075,lower,-0.0277,101.723,0.8294
-0.3511,0.32704,upper,0.014,101.123,nan
-0.3511,0.32704,lower,-0.0052,101.4,0.8079
-0.3511,0.33333,upper,-0.0032,101.371,0.8169
-0.3511,0.33333,lower,0.0388,100.766,nan
-0.3511,0.33962,upper,-0.0031,101.369,0.8058
-0.3511,0.33962,lower,0.0472,100.646,nan
-0.3511,0.34591,upper,0.0176,101.071,nan
-0.3511,0.34591,lower,-0.0036,101.376,0.7883
-0.3511,0.3522,upper,-0.0354,101.834,0.8343
-0.3511,0.3522,lower,-0.0116,101.493,0.8184
-0.3511,0.35849,upper,0.0404,100.744,nan
-0.3511,0.35849,lower,-0.0167,101.565,0.8274
-0.3511,0.36478,upper,-0.0577,102.155,0.841
-0.3511,0.36478,lower,0.0482,100.632,nan
-0.3511,0.37107,upper,0.0487,100.625,nan
-0.3511,0.37107,lower,-0.0217,101.638,0.8227
-0.3511,0.37736,upper,0.0353,100.817,nan
-0.3511,0.37736,lower,-0.002,101.354,0.7828
-0.3511,0.38365,upper,-0.0246,101.679,0.8366
-0.3511,0.38365,lower,0.0387,100.768,nan
-0.3511,0.38994,upper,-0.0208,101.625,0.8213
-0.3511,0.38994,lower,0.0422,100.718,nan
-0.3511,0.39623,upper,0.012,101.152,nan
-0.3511,0.39623,lower,-0.0211,101.628,0.8295
-0.3511,0.40252,upper,0.0503,100.601,nan
-0.3511,0.40252,lower,-0.0038,101.38,0.8059
-0.3511,0.40881,upper,0.0058,101.241,nan
-0.3511,0.40881,lower,0.0419,100.723,nan
-0.3511,0.41509,upper,0.0594,100.471,nan
-0.3511,0.41509,lower,0.0037,101.272,nan
-0.3511,0.42138,upper,0.0189,101.053,nan
-0.3511,0.42138,lower,-0.0099,101.468,0.8193
-0.3511,0.42767,upper,-0.034,101.814,0.8467
-0.3511,0.42767,lower,0.0347,100.826,nan
-0.3511,0.43396,upper,0.0414,100.729,nan
-0.3511,0.43396,lower,0.0675,100.353,nan
-0.3511,0.44025,upper,0.0152,101.106,nan
-0.3511,0.44025,lower,0.0916,100.007,nan
-0.3511,0.44654,upper,-0.0085,101.447,0.8065
-0.3511,0.44654,lower,0.0011,101.308,nan
-0.3511,0.45283,upper,0.0323,100.861,nan
-0.3511,0.45283,lower,-0.0377,101.867,0.8501
-0.3511,0.45912,upper,0.0409,100.737,nan
-0.3511,0.45912,lower,0.0217,101.013,nan
-0.3511,0.46541,upper,0.0282,100.92,nan
-0.3511,0.46541,lower,-0.0258,101.696,0.8416
-0.3511,0.4717,upper,0.0142,101.12,nan
-0.3511,0.4717,lower,0.0426,100.713,nan
-0.3511,0.47799,upper,0.0483,100.63,nan
-0.3511,0.47799,lower,0.0307,100.883,nan
-0.3511,0.48428,upper,0.0532,100.559,nan
-0.3511,0.48428,lower,0.1032,99.841,nan
-0.3511,0.49057,upper,0.0242,100.977,nan
-0.3511,0.49057,lower,-0.0137,101.522,0.8153
-0.3511,0.49686,upper,0.1072,99.783,nan
-0.3511,0.49686,lower,0.0004,101.319,nan
-0.3511,0.50314,upper,0.0767,100.222,nan
-0.3511,0.50314,lower,0.0457,100.667,nan
-0.3511,0.50943,upper,0.0076,101.216,nan
-0.3511,0.50943,lower,0.0594,100.47,nan
-0.3511,0.51572,upper,0.1068,99.788,nan
-0.3511,0.51572,lower,-0.0487,102.026,0.8477
-0.3511,0.52201,upper,0.0569,100.507,nan
-0.3511,0.52201,lower,0.04,100.75,nan
-0.3511,0.5283,upper,0.1065,99.792,nan
-0.3511,0.5283,lower,0.0653,100.385,nan
-0.3511,0.53459,upper,0.0216,101.014,nan
-0.3511,0.53459,lower,-0.0438,101.956,0.84
-0.3511,0.54088,upper,0.0917,100.006,nan
-0.3511,0.54088,lower,0.0753,100.242,nan
-0.3511,0.54717,upper,0.0781,100.201,nan
-0.3511,0.54717,lower,0.0478,100.637,nan
-0.3511,0.55346,upper,0.0794,100.182,nan
-0.3511,0.55346,lower,0.0868,100.076,nan
-0.3511,0.55975,upper,0.1483,99.191,nan
-0.3511,0.55975,lower,0.0993,99.896,nan
-0.3511,0.56604,upper,0.1762,98.791,nan
-0.3511,0.56604,lower,0.06,100.461,nan
-0.3511,0.57233,upper,0.2148,98.235,nan
-0.3511,0.57233,lower,0.1707,98.869,nan
-0.3511,0.57862,upper,0.3406,96.424,nan
-0.3511,0.57862,lower,0.163,98.98,nan
-0.3511,0.58491,upper,0.4109,95.412,nan
-0.3511,0.58491,lower,0.1461,99.222,nan
-0.3511,0.59119,upper,0.4432,94.948,nan
-0.3511,0.59119,lower,0.1324,99.42,nan
-0.3511,0.59748,upper,0.5463,93.465,nan
-0.3511,0.59748,lower,0.2492,97.74,nan
-0.3511,0.60377,upper,0.5867,92.883,nan
-0.3511,0.60377,lower,0.2982,97.035,nan
-0.3511,0.61006,upper,0.6376,92.15,nan
-0.3511,0.61006,lower,0.2563,97.637,nan
-0.3511,0.61635,upper,0.7378,90.71,nan
-0.3511,0.61635,lower,0.3217,96.697,nan
-0.3511,0.62264,upper,0.8277,89.416,nan
-0.3511,0.62264,lower,0.2747,97.372,nan
-0.3511,0.62893,upper,0.8568,88.998,nan
-0.3511,0.62893,lower,0.4195,95.289,nan
-0.3511,0.63522,upper,0.8375,89.275,nan
-0.3511,0.63522,lower,0.3551,96.216,nan
-0.3511,0.64151,upper,0.8742,88.747,nan
-0.3511,0.64151,lower,0.3671,96.044,nan
-0.3511,0.6478,upper,0.8898,88.522,nan
-0.3511,0.6478,lower,0.3741,95.942,nan
-0.3511,0.65409,upper,0.8058,89.732,nan
-0.3511,0.65409,lower,0.3226,96.684,nan
-0.3511,0.66038,upper,0.9299,87.945,nan
-0.3511,0.66038,lower,0.3752,95.926,nan
-0.3511,0.66667,upper,0.9318,87.918,nan
-0.3511,0.66667,lower,0.3352,96.503,nan
-0.3511,0.67296,upper,0.9912,87.064,nan
-0.3511,0.67296,lower,0.2874,97.19,nan
-0.3511,0.67925,upper,0.9269,87.988,nan
-0.3511,0.67925,lower,0.3976,95.604,nan
-0.3511,0.68553,upper,0.9343,87.882,nan
-0.3511,0.68553,lower,0.3776,95.892,nan
-0.3511,0.69182,upper,0.9565,87.563,nan
-0.3511,0.69182,lower,0.3518,96.264,nan
-0.3511,0.69811,upper,0.9488,87.674,nan
-0.3511,0.69811,lower,0.3207,96.71,nan
-0.3511,0.7044,upper,0.9411,87.785,nan
-0.3511,0.7044,lower,0.3611,96.13,nan
